"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
1972,12,Occurrence,Total Population,Total Population,25382,,,10/30/2024
1972,12,Residence,Total Population,Total Population,25340,,,10/30/2024
1973,01,Occurrence,Total Population,Total Population,24608,,,10/30/2024
1973,01,Residence,Total Population,Total Population,24556,,,10/30/2024
1973,02,Occurrence,Total Population,Total Population,22136,,,10/30/2024
1973,02,Residence,Total Population,Total Population,22112,,,10/30/2024
1973,03,Occurrence,Total Population,Total Population,24787,,,10/30/2024
1973,03,Residence,Total Population,Total Population,24771,,,10/30/2024
1973,04,Occurrence,Total Population,Total Population,24076,,,10/30/2024
1973,04,Residence,Total Population,Total Population,24064,,,10/30/2024
1973,05,Occurrence,Total Population,Total Population,25212,,,10/30/2024
1973,05,Residence,Total Population,Total Population,25218,,,10/30/2024
1973,06,Occurrence,Total Population,Total Population,24555,,,10/30/2024
1973,06,Residence,Total Population,Total Population,24537,,,10/30/2024
1973,07,Occurrence,Total Population,Total Population,25952,,,10/30/2024
1973,07,Residence,Total Population,Total Population,25945,,,10/30/2024
1973,08,Occurrence,Total Population,Total Population,26798,,,10/30/2024
1973,08,Residence,Total Population,Total Population,26775,,,10/30/2024
1973,09,Occurrence,Total Population,Total Population,25521,,,10/30/2024
1973,09,Residence,Total Population,Total Population,25506,,,10/30/2024
1973,10,Occurrence,Total Population,Total Population,25031,,,10/30/2024
1973,10,Residence,Total Population,Total Population,25015,,,10/30/2024
1973,11,Occurrence,Total Population,Total Population,24018,,,10/30/2024
1973,11,Residence,Total Population,Total Population,23990,,,10/30/2024
1973,12,Occurrence,Total Population,Total Population,25385,,,10/30/2024
1973,12,Residence,Total Population,Total Population,25345,,,10/30/2024
1974,01,Occurrence,Total Population,Total Population,24597,,,10/30/2024
1974,01,Residence,Total Population,Total Population,24590,,,10/30/2024
1974,02,Occurrence,Total Population,Total Population,22657,,,10/30/2024
1974,02,Residence,Total Population,Total Population,22642,,,10/30/2024
1974,03,Occurrence,Total Population,Total Population,24873,,,10/30/2024
1974,03,Residence,Total Population,Total Population,24859,,,10/30/2024
1974,04,Occurrence,Total Population,Total Population,24620,,,10/30/2024
1974,04,Residence,Total Population,Total Population,24585,,,10/30/2024
1974,05,Occurrence,Total Population,Total Population,26146,,,10/30/2024
1974,05,Residence,Total Population,Total Population,26128,,,10/30/2024
1974,06,Occurrence,Total Population,Total Population,26010,,,10/30/2024
1974,06,Residence,Total Population,Total Population,25976,,,10/30/2024
1974,07,Occurrence,Total Population,Total Population,27369,,,10/30/2024
1974,07,Residence,Total Population,Total Population,27350,,,10/30/2024
1974,08,Occurrence,Total Population,Total Population,28204,,,10/30/2024
1974,08,Residence,Total Population,Total Population,28151,,,10/30/2024
1974,09,Occurrence,Total Population,Total Population,27825,,,10/30/2024
1974,09,Residence,Total Population,Total Population,27770,,,10/30/2024
1974,10,Occurrence,Total Population,Total Population,27774,,,10/30/2024
1974,10,Residence,Total Population,Total Population,27726,,,10/30/2024
1974,11,Occurrence,Total Population,Total Population,25644,,,10/30/2024
1974,11,Residence,Total Population,Total Population,25608,,,10/30/2024
1974,12,Occurrence,Total Population,Total Population,26303,,,10/30/2024
1974,12,Residence,Total Population,Total Population,26283,,,10/30/2024
1975,01,Occurrence,Total Population,Total Population,25795,,,10/30/2024
1975,01,Residence,Total Population,Total Population,25775,,,10/30/2024
1975,02,Occurrence,Total Population,Total Population,23459,,,10/30/2024
1975,02,Residence,Total Population,Total Population,23452,,,10/30/2024
1975,03,Occurrence,Total Population,Total Population,25812,,,10/30/2024
1975,03,Residence,Total Population,Total Population,25780,,,10/30/2024
1975,04,Occurrence,Total Population,Total Population,25274,,,10/30/2024
1975,04,Residence,Total Population,Total Population,25266,,,10/30/2024
1975,05,Occurrence,Total Population,Total Population,26583,,,10/30/2024
1975,05,Residence,Total Population,Total Population,26574,,,10/30/2024
1975,06,Occurrence,Total Population,Total Population,26196,,,10/30/2024
1975,06,Residence,Total Population,Total Population,26175,,,10/30/2024
1975,07,Occurrence,Total Population,Total Population,27720,,,10/30/2024
1975,07,Residence,Total Population,Total Population,27714,,,10/30/2024
1975,08,Occurrence,Total Population,Total Population,28125,,,10/30/2024
1975,08,Residence,Total Population,Total Population,28081,,,10/30/2024
1975,09,Occurrence,Total Population,Total Population,28222,,,10/30/2024
1975,09,Residence,Total Population,Total Population,28180,,,10/30/2024
1975,10,Occurrence,Total Population,Total Population,27253,,,10/30/2024
1975,10,Residence,Total Population,Total Population,27224,,,10/30/2024
1975,11,Occurrence,Total Population,Total Population,25674,,,10/30/2024
1975,11,Residence,Total Population,Total Population,25667,,,10/30/2024
1975,12,Occurrence,Total Population,Total Population,27486,,,10/30/2024
1975,12,Residence,Total Population,Total Population,27430,,,10/30/2024
1976,01,Occurrence,Total Population,Total Population,26249,,,10/30/2024
1976,01,Residence,Total Population,Total Population,26216,,,10/30/2024
1976,02,Occurrence,Total Population,Total Population,25097,,,10/30/2024
1976,02,Residence,Total Population,Total Population,25081,,,10/30/2024
1976,03,Occurrence,Total Population,Total Population,27151,,,10/30/2024
1976,03,Residence,Total Population,Total Population,27141,,,10/30/2024
1976,04,Occurrence,Total Population,Total Population,26107,,,10/30/2024
1976,04,Residence,Total Population,Total Population,26100,,,10/30/2024
1976,05,Occurrence,Total Population,Total Population,27393,,,10/30/2024
1976,05,Residence,Total Population,Total Population,27408,,,10/30/2024
1976,06,Occurrence,Total Population,Total Population,27014,,,10/30/2024
1976,06,Residence,Total Population,Total Population,27012,,,10/30/2024
1976,07,Occurrence,Total Population,Total Population,28418,,,10/30/2024
1976,07,Residence,Total Population,Total Population,28422,,,10/30/2024
1976,08,Occurrence,Total Population,Total Population,29894,,,10/30/2024
1976,08,Residence,Total Population,Total Population,29875,,,10/30/2024
1976,09,Occurrence,Total Population,Total Population,29565,,,10/30/2024
1976,09,Residence,Total Population,Total Population,29560,,,10/30/2024
1976,10,Occurrence,Total Population,Total Population,28818,,,10/30/2024
1976,10,Residence,Total Population,Total Population,28794,,,10/30/2024
1976,11,Occurrence,Total Population,Total Population,27587,,,10/30/2024
1976,11,Residence,Total Population,Total Population,27573,,,10/30/2024
1976,12,Occurrence,Total Population,Total Population,28939,,,10/30/2024
1976,12,Residence,Total Population,Total Population,28923,,,10/30/2024
1977,01,Occurrence,Total Population,Total Population,28487,,,10/30/2024
1977,01,Residence,Total Population,Total Population,28489,,,10/30/2024
1977,02,Occurrence,Total Population,Total Population,26010,,,10/30/2024
1977,02,Residence,Total Population,Total Population,25993,,,10/30/2024
1977,03,Occurrence,Total Population,Total Population,29443,,,10/30/2024
1977,03,Residence,Total Population,Total Population,29443,,,10/30/2024
1977,04,Occurrence,Total Population,Total Population,27377,,,10/30/2024
1977,04,Residence,Total Population,Total Population,27380,,,10/30/2024
1977,05,Occurrence,Total Population,Total Population,28844,,,10/30/2024
1977,05,Residence,Total Population,Total Population,28889,,,10/30/2024
1977,06,Occurrence,Total Population,Total Population,28212,,,10/30/2024
1977,06,Residence,Total Population,Total Population,28216,,,10/30/2024
1977,07,Occurrence,Total Population,Total Population,29808,,,10/30/2024
1977,07,Residence,Total Population,Total Population,29834,,,10/30/2024
1977,08,Occurrence,Total Population,Total Population,30655,,,10/30/2024
1977,08,Residence,Total Population,Total Population,30660,,,10/30/2024
1977,09,Occurrence,Total Population,Total Population,30970,,,10/30/2024
1977,09,Residence,Total Population,Total Population,31002,,,10/30/2024
